"SOURCE_INVOICE_NUMBER","SOURCE_LINE_NUMBER","ITEM_TYPE","SOURCE_ITEM_TYPE","ITEM_CODE","DESCRIPTION","QUANTITY","UNIT_PRICE","DISCOUNT","TOTAL","VAT_AMOUNT","UNIT","CURRENCY"
IL207117,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207117,6,parts,M,PAR2004000085,A/C FILTER,1,63.84,0,63.84,0,NOS,AED
IL207118,1,service,L,M00001,R/R LINK ROD,1,95,0,95,0,HRS,AED
IL207118,2,parts,M,PAR1101002825,FRNT LINK ROD,2,15,0,30,0,PCS,AED
IL207118,3,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207119,1,service,L,M00004,AC CONDENSOR CLEANING,0.5,95,0,47.5,0,HRS,AED
IL207119,2,parts,M,PAR9999001301,RADIATOR CAP,1,39,0,39,0,PCS,AED
IL207120,1,service,L,M00002,AC CNDENSOR CLEANING,0.5,95,0,47.5,0,HRS,AED
IL207120,2,parts,M,PAR9999001301,RADIATOR CAP,1,39,0,39,0,PCS,AED
IL207121,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,0,HRS,AED
IL207121,2,parts,M,BAT1101000749,"55559 BATTERY DIN55 SBK",1,196.25,0,196.25,0,PCS,AED
IL207121,3,service,S,SLL01023,VEHICLE BROUGHT BY RECOVERY FOR STARTING PRO- AJM TO SHJ,1,94.5,0,94.5,0,NOS,AED
IL207122,1,service,L,M00003,R/R FRONT LINK ROD,1,95,0,95,0,HRS,AED
IL207122,2,parts,M,PAR1101002825,FRNT LINK ROD,2,15,0,30,0,PCS,AED
IL207122,3,service,L,M04005,R/R FRONT RHS SHOCK MOUNTING,1.5,95,0,142.5,0,HRS,AED
IL207122,4,parts,M,PAR1101003045,"MOUNT,FT SHOCK",1,30,0,30,0,PCS,AED
IL207122,5,service,L,M04017,R/R FRONT LHS LOWER ARM ASSY,1.5,95,0,142.5,0,HRS,AED
IL207122,6,parts,M,PAR1101003542,LH LOWER ARM,1,85,0,85,0,PCS,AED
IL207123,1,service,L,M10001,R/R AC COMPRESSOR,2,95,0,190,0,HRS,AED
IL207123,2,parts,M,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1000,0,1000,0,PCS,AED
IL207123,3,parts,M,PAR1101003533,ALTENATOR BELT,1,35,0,35,0,PCS,AED
IL207123,4,service,L,M10002,R/R AC CONDENSOR,1.5,95,0,142.5,0,HRS,AED
IL207123,5,parts,M,PAR1101000367,AC CONDENSOR ASSY,1,230,0,230,0,PCS,AED
IL207123,6,parts,M,PAR9999001410,CONDENSOR PIPING CLAMP,1,20,0,20,0,PCS,AED
IL207123,7,service,L,M00003,AC GAS FILLING,1.73,95,0,164.35,0,HRS,AED
IL207123,8,service,C,"9999",AC GAS,1,80,0,80,0,NOS,AED
IL207123,9,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207123,10,service,L,M00002,AC SYSTEM & LINE CLEANING CHARGE,0.5,95,0,47.5,0,HRS,AED
IL207123,11,service,C,"9999",CLEANING GAS,1,70,0,70,0,NOS,AED
IL207124,1,service,L,M08004,R/R WATER PUMP,2.5,95,0,237.5,0,HRS,AED
IL207124,2,parts,M,PAR1109000077,"HOUSING SUB-ASSY, WATER INLET W/WATER PUMP",1,350,0,350,0,PCS,AED
IL207124,3,parts,M,PAR1101001331,COOLANT ACDELCO (RED),2,22,0,44,0,PCS,AED
IL207124,4,service,S,SLL01024,VEHICLE BROUGHT  BY RECOVERY FOR ENG OVER HEAT (SHJ-SHJ),1,63,0,63,0,NOS,AED
IL207125,1,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207126,1,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207127,1,service,L,M00002,HORN WIRE REPARING,0.5,95,0,47.5,0,HRS,AED
IL207127,2,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207128,1,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207129,1,service,L,M00002,R/R BY PASS HOSE VALVE,1,95,0,95,0,HRS,AED
IL207129,2,parts,M,PAR1101002478,"HOSE ASSY, WATER BY-PASS - CAMRY",1,150,0,150,0,PCS,AED
IL207129,3,parts,M,PAR1101001331,COOLANT ACDELCO (RED),1,22,0,22,0,PCS,AED
IL207130,1,service,L,M00002,AC CONDENSOR CLEANING,0.5,95,0,47.5,0,HRS,AED
IL207130,2,parts,M,PAR9999001301,RADIATOR CAP,1,39,0,39,0,PCS,AED
IL207130,3,parts,M,PAR1101001331,COOLANT ACDELCO (RED),1,22,0,22,0,PCS,AED
IL207131,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207131,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207131,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207131,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207131,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207131,6,parts,M,PAR1101001735,AIR FILTER,1,115,0,115,0,PCS,AED
IL207131,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207131,8,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207131,9,parts,M,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,0,135,0,GAL,AED
IL207132,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207132,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207132,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207132,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207132,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207132,6,parts,M,PAR1101001735,AIR FILTER,1,115,0,115,0,PCS,AED
IL207132,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207132,8,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207132,9,parts,M,PAR1102000605,TRANSAXLE FLUID TE 4L,1,137,0,137,0,PCS,AED
IL207133,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207133,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207133,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207133,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207133,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207133,6,parts,M,PAR1101002966,"WIPER BLADE 18""",1,4,0,4,0,PCS,AED
IL207133,7,parts,M,PAR1101002967,"WIPER BLADE 24""",1,4,0,4,0,PCS,AED
IL207133,8,parts,M,PAR9999001814,REVERSE BULB (921- OSRAM) 12V W16W,1,5,0,5,0,PCS,AED
IL207133,9,parts,M,PAR1101001340,BATTERY FILTER,1,17,0,17,0,PCS,AED
IL207134,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207134,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207134,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207134,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207134,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207134,6,parts,M,PAR1101002966,"WIPER BLADE 18""",1,4,0,4,0,PCS,AED
IL207134,7,parts,M,PAR1101002967,"WIPER BLADE 24""",1,4,0,4,0,PCS,AED
IL207135,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207135,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207135,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207135,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207135,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207135,6,service,L,M01006,R/R SPARK PLUGS,1,95,0,95,0,HRS,AED
IL207135,7,parts,M,PAR1101001489,SPARK PLUG,4,66,0,264,0,PCS,AED
IL207136,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207136,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207136,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207136,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207136,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207137,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207137,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207137,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207137,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207137,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207137,6,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207138,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207138,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207138,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207138,4,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207138,5,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207138,6,service,L,M00002,REPLACE FRONT & REAR BRAKE PAD,1,95,0,95,0,HRS,AED
IL207138,7,parts,M,PAR1101001534,FRONT BRAKE PAD,1,34,0,34,0,PCS,AED
IL207138,8,parts,M,PAR1101000997,BRAKE PAD REAR,1,27,0,27,0,PCS,AED
IL207139,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207139,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207139,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207139,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207139,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207140,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207140,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207140,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207140,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207140,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207140,6,parts,M,PAR1101001735,AIR FILTER,1,115,0,115,0,PCS,AED
IL207140,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207140,8,parts,M,PAR1101001340,BATTERY FILTER,1,17,0,17,0,PCS,AED
IL207140,9,parts,M,PAR1101002966,"WIPER BLADE 18""",1,4,0,4,0,PCS,AED
IL207140,10,parts,M,PAR1101002967,"WIPER BLADE 24""",1,4,0,4,0,PCS,AED
IL207140,11,service,S,SLL01026,DISC SKIMMING CHARGES,1,31.5,0,31.5,0,NOS,AED
IL207140,12,service,L,M00002,R/R FRONT BRAKE PAD & DISC SKIMMING,1,111,0,111,0,HRS,AED
IL207140,13,parts,M,PAR1101001534,FRONT BRAKE PAD,1,34,0,34,0,PCS,AED
IL207140,14,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
IL207140,15,parts,M,PAR1101000997,BRAKE PAD REAR,1,27,0,27,0,PCS,AED
IL207140,16,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207140,17,parts,M,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,0,135,0,GAL,AED
IL207140,18,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207141,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207141,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207141,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207141,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207141,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207141,6,parts,M,PAR1101001735,AIR FILTER,1,115,0,115,0,PCS,AED
IL207141,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207141,8,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207141,9,parts,M,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,0,135,0,GAL,AED
IL207141,10,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207142,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,95,0,142.5,0,HRS,AED
IL207142,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207142,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207142,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.6,14.75,0,67.85,0,LTR,AED
IL207142,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207142,6,parts,M,PAR9999005973,PARKING BULB,2,4,0,8,0,PCS,AED
IL207142,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207143,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207143,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207143,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207143,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207143,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207144,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207144,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207144,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207144,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207144,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207145,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207145,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207145,3,parts,M,PAR1906000054,OIL FILTER,1,34,0,34,0,PCS,AED
IL207145,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207145,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207145,6,parts,M,PAR2004000085,A/C FILTER,1,63.84,0,63.84,0,NOS,AED
IL207145,7,service,L,M01006,R/R SPARK PLUGS,1,95,0,95,0,HRS,AED
IL207145,8,parts,M,PAR1905000141,SPARK PLUG,4,55,0,220,0,PCS,AED
IL207146,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,95,0,142.5,0,HRS,AED
IL207146,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207146,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207146,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.6,14.75,0,67.85,0,LTR,AED
IL207146,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207146,6,parts,M,PAR1101001735,AIR FILTER,1,115,0,115,0,PCS,AED
IL207146,7,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207146,8,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207146,9,parts,M,PAR1102000605,TRANSAXLE FLUID TE 4L,1,137,0,137,0,PCS,AED
IL207147,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207147,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207147,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207147,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207147,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207147,6,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207148,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207148,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207148,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207148,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207148,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207148,6,service,L,M00002,FRONT RH HEAD LIGHT ASSY,0.5,95,0,47.5,0,HRS,AED
IL207148,7,parts,M,PAR1101000672,HEADLAMP RH,1,320,0,320,0,PCS,AED
IL207149,1,service,L,M00001,"REPLACE RH , LH & RR ENGINE MOUNT",3.23,120,0,387.6,0,HRS,AED
IL207149,2,parts,M,PAR6701000126,GEAR MOUNT,1,92,0,92,0,NOS,AED
IL207149,3,parts,M,PAR6704000258,"LEFT SUSPENSION ASSY, JAC JS4 23",1,190,0,190,0,PCS,AED
IL207149,4,parts,M,PAR6704000159,ENGINE MOUNT,1,180,0,180,0,NOS,AED
IL207149,5,service,S,SLL01019,DISC SKIMMING CHARGES,1,31.5,0,31.5,0,NOS,AED
IL207149,6,service,L,M00002,REPLACE FRONT BRAKE PAD & DISC SKIMMING,1.23,120,0,147.6,0,HRS,AED
IL207149,7,parts,M,PAR6704000107,FR BRAKE PAD,1,285,0,285,0,PCS,AED
IL207149,8,service,L,M00003,REPLACE DRIVE BELT & WIPER,1,95,0,95,0,HRS,AED
IL207149,9,parts,M,PAR6704000260,"LEFT FR WIPER , JS4",1,55,0,55,0,PCS,AED
IL207149,10,parts,M,PAR6704000261,"RIGHT FR WIPER, JS4",1,45.3,0,45.3,0,PCS,AED
IL207149,11,parts,M,PAR6704000074,REAR WIPER BLADE ASSY,1,46,0,46,0,PCS,AED
IL207149,12,parts,M,PAR6704000243,DRIVE BELT,1,115,0,115,0,NOS,AED
IL207149,13,service,L,M00004,REPLACE TPMS SENSOR,1,120,0,120,0,HRS,AED
IL207149,14,parts,M,PAR6704000259,TMPS SENSOR. JAC JS4 23,1,95,0,95,0,PCS,AED
IL207150,1,service,L,M00002,ENGINE O/H,24,95,0,2280,0,HRS,AED
IL207150,2,parts,M,PAR1101003593,"ENGINE GASKET KIT, CAMRY HYBRID 24",1,575,0,575,0,PCS,AED
IL207150,3,parts,M,PAR1101003613,RING SET PISTON -CAMRY HYB24,1,295,0,295,0,PCS,AED
IL207150,4,parts,M,PAR1109000077,"HOUSING SUB-ASSY, WATER INLET W/WATER PUMP",1,350,0,350,0,PCS,AED
IL207150,5,parts,M,PAR1101003545,"THERMOSTAT, HYBRID CAMRY 24",1,85,0,85,0,PCS,AED
IL207150,6,parts,M,PAR1101001489,SPARK PLUG,4,66,0,264,0,PCS,AED
IL207150,7,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207150,8,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207150,9,service,S,SLL01015,HEAD PRESSURE TEST-HEAD SEAT & VALVE GRINDING-HEAD SPRING L,1,520.12,0,520.12,0,NOS,AED
IL207150,10,service,C,"9999",CONSUMABLES,1,50,0,50,0,NOS,AED
IL207151,1,service,L,M10001,R/R AC COMPRESSOR,2,95,0,190,0,HRS,AED
IL207151,2,parts,M,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1000,0,1000,0,PCS,AED
IL207151,3,service,L,M10002,R/R AC CONDENSOR,1.5,95,0,142.5,0,HRS,AED
IL207151,4,parts,M,PAR1101000367,AC CONDENSOR ASSY,1,230,0,230,0,PCS,AED
IL207151,5,parts,M,PAR9999001410,CONDENSOR PIPING CLAMP,1,20,0,20,0,PCS,AED
IL207151,6,service,L,M00003,AC GAS FILLING,1.73,95,0,164.35,0,HRS,AED
IL207151,7,service,C,"9999",AC GAS,1,80,0,80,0,NOS,AED
IL207151,8,parts,M,PAR1101000871,AC FILTER,1,5.5,0,5.5,0,PCS,AED
IL207151,9,service,L,M00002,AC SYSTEM & LINE CLEANING CHARGE,0.5,95,0,47.5,0,HRS,AED
IL207151,10,service,C,"9999",CLEANING GAS,1,70,0,70,0,NOS,AED
IL207152,1,service,L,M08004,R/R WATER PUMP,2.5,95,0,237.5,0,HRS,AED
IL207152,2,parts,M,PAR1109000077,"HOUSING SUB-ASSY, WATER INLET W/WATER PUMP",1,350,0,350,0,PCS,AED
IL207152,3,parts,M,PAR1101001331,COOLANT ACDELCO (RED),2,22,0,44,0,PCS,AED
IL207153,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207153,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207153,3,parts,M,PAR1906000054,OIL FILTER,1,34,0,34,0,PCS,AED
IL207153,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207153,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207153,6,parts,M,PAR2004000085,A/C FILTER,1,63.84,0,63.84,0,NOS,AED
IL207153,7,service,L,M01006,R/R SPARK PLUGS,1,95,0,95,0,HRS,AED
IL207153,8,parts,M,PAR1905000141,SPARK PLUG,4,55,0,220,0,PCS,AED
IL207153,9,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207153,10,parts,M,LUB1904000001,ATF OIL,4,66.25,0,265,0,LTR,AED
IL207154,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207154,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207154,3,parts,M,PAR1906000054,OIL FILTER,1,34,0,34,0,PCS,AED
IL207154,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207154,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207154,6,parts,M,PAR2004000085,A/C FILTER,1,63.84,0,63.84,0,NOS,AED
IL207154,7,service,L,M01006,R/R SPARK PLUGS,1,95,0,95,0,HRS,AED
IL207154,8,parts,M,PAR1905000141,SPARK PLUG,4,55,0,220,0,PCS,AED
IL207154,9,parts,M,TYR1905000001,"205 65 R16 -GITI COMFORT T29 GITI TYRE",2,215,0,430,0,PCS,AED
IL207155,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207155,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207155,3,parts,M,PAR1906000054,OIL FILTER,1,34,0,34,0,PCS,AED
IL207155,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207155,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207155,6,parts,M,PAR1905000085,AIR FILTER,1,65.89,0,65.89,0,PCS,AED
IL207155,7,parts,M,PAR2004000085,A/C FILTER,1,63.84,0,63.84,0,NOS,AED
IL207155,8,service,L,M02001,R/R ATF,0.5,95,0,47.5,0,HRS,AED
IL207155,9,parts,M,LUB1904000001,ATF OIL,4,66.25,0,265,0,LTR,AED
IL207156,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207156,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
IL207156,3,parts,M,PAR1104000199,OIL FILTER,1,14.5,0,14.5,0,PCS,AED
IL207156,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,0,LTR,AED
IL207156,5,parts,M,PAR9999005976,FUEL INJECTION CLEANER,1,10,0,10,0,PCS,AED
IL207156,6,parts,M,PAR9999001814,REVERSE BULB (921- OSRAM) 12V W16W,2,5,0,10,0,PCS,AED
IL207156,7,service,L,M00003,R/R SHOCK MOUNTING,3,95,0,285,0,HRS,AED
IL207156,8,parts,M,PAR1101003045,"MOUNT,FT SHOCK",2,30,0,60,0,PCS,AED
IL207156,9,service,L,M03002,R/R REAR BRAKE PAD,0.5,95,0,47.5,0,HRS,AED
IL207156,10,parts,M,PAR1101000997,BRAKE PAD REAR,1,27,0,27,0,PCS,AED
IL207157,1,service,L,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,0,95,0,HRS,AED
IL207157,2,service,C,"9999",CONSUMABLES,1,10,0,10,0,NOS,AED
