"SOURCE_JOB_NUMBER","SOURCE_LINE_NUMBER","ITEM_CODE","NAME","QUANTITY","UNIT_PRICE","SOURCE_TYPE"
JCI17941,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17941,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17941,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17941,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17941,5,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17941,6,PAR1101002966,"WIPER BLADE 18""",1,2.66,Part
JCI17941,7,PAR1101002967,"WIPER BLADE 24""",1,2.88,Part
JCI17941,8,"9999",CONSUMABLES,1,10,Consumable
JCI17941,9,M00003,FRT & RR BRAKE PAD REPLACE,1,95,Labor
JCI17942,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17942,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17942,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17942,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17942,5,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17942,6,"9999",CONSUMABLES,1,10,Consumable
JCI17942,7,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17943,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17943,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17943,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17943,4,PAR1101001534,FRONT BRAKE PAD,1,26.681,Part
JCI17943,5,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17943,6,PAR1101001534,FRONT BRAKE PAD,1,-26.681,R
JCI17943,7,"9999",CONSUMABLES,1,10,Consumable
JCI17943,8,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17944,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17944,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17944,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17944,4,"9999",CONSUMABLES,1,10,Consumable
JCI17945,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17945,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17945,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17945,4,"9999",CONSUMABLES,1,10,Consumable
JCI17946,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17946,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17946,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17946,4,"9999",CONSUMABLES,1,10,Consumable
JCI17947,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17947,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17947,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17947,4,"9999",CONSUMABLES,1,10,Consumable
JCI17948,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17948,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17948,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17948,4,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17948,5,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17948,6,"9999",CONSUMABLES,1,10,Consumable
JCI17948,7,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17949,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17949,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17949,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17949,4,"9999",CONSUMABLES,1,10,Consumable
JCI17950,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17950,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17950,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17950,4,PAR1101002866,A/C FILTER,1,5.5,Part
JCI17950,5,PAR1101000864,AIR FILTER,1,6.3,Part
JCI17950,6,"9999",CONSUMABLES,1,10,Consumable
JCI17951,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17951,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17951,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI17951,4,"9999",CONSUMABLES,1,10,Consumable
JCI17952,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17952,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17952,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17952,4,"9999",CONSUMABLES,1,10,Consumable
JCI17953,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17953,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17953,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17953,4,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17953,5,"9999",CONSUMABLES,1,10,Consumable
JCI17954,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17954,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17954,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17954,4,"9999",CONSUMABLES,1,10,Consumable
JCI17955,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17955,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17955,3,PAR1101003614,OIL FILTER,1,6.72,Part
JCI17955,4,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17955,5,"9999",CONSUMABLES,1,10,Consumable
JCI17956,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17956,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17956,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17956,4,"9999",CONSUMABLES,1,10,Consumable
JCI17957,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17957,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17957,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI17957,4,"9999",CONSUMABLES,1,10,Consumable
JCI17958,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17958,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17958,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17958,4,"9999",CONSUMABLES,1,10,Consumable
JCI17959,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17959,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17959,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17959,4,"9999",CONSUMABLES,1,10,Consumable
JCI17960,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17960,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17960,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI17960,4,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17960,5,"9999",CONSUMABLES,1,10,Consumable
JCI17960,6,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17961,1,M00000,FRONT RHS/LHS WHEEL BEARING R/R,3,95,Labor
JCI17961,2,PAR1101003616,FT WHEEL HUB & BEARING,2,98.7,Part
JCI17961,3,PAR1101002855,REAR WHEEL HUB,1,114.45,Part
JCI17961,4,PAR1101003090,FRNT LH AXLE ASSY,1,173.523,Part
JCI17961,5,M04030,WHEEL BEARING REAR RHS R/R,1.5,95,Labor
JCI17961,6,M05007,R/R DRIVE SHAFT LHS,1.5,95,Labor
JCI17962,1,M00000,FRONT BUMPER FIX AND REAR BUMPER FIX,1,95,Labor
JCI17963,1,M01999,Lube Service contract,0.5,95,Labor
JCI17963,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,10.689,Part
JCI17963,3,PAR1906000083,ENGINE OIL FILTER,1,30.146,Part
JCI17963,4,"9999",CONSUMABLES,1,10,Consumable
JCI17963,5,"9999",SERVICE CONTRACT DIFF,1,-0.41,O
JCI17964,1,M00000,CHECK AND REPORT,1,125,Labor
JCI17965,1,B00000,REAR ACCIDENT,7.17,95,Labor
JCI17965,2,"9999",PAINT AND THINNERS,1,100,Consumable
JCI17965,3,"9999",Labour EXCESS,1,1218.85,O
JCI17966,1,TYR9999004967,TYRE 215/60R16-FORTUNE,2,215,Part
JCI17966,2,SLI00712,ALLOY WHEEL STICKER BALANCING,1,20.013,Service
JCI17967,1,M00000,BATTERY REMOVE CHARGING AND REFIX,0.25,95,Labor
JCI17968,1,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17969,1,M00000,LUBE SERVICE,1,140,Labor
JCI17969,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,15,Part
JCI17969,3,PAR9999003436,OIL FILTER,1,37,Part
JCI17969,4,PAR1116000159,FR BRAKEPAD. LANDCRUISER 25,1,399,Part
JCI17969,5,SLI00717,DISC SKIMMING CHARGES,1,45,Service
JCI17969,6,M03007,R/R FRONT BRAKE PAD  &amp; FRONT DISCS SKIMMING,1.5,180,Labor
JCI17970,1,M00000,FRONT BUMPER AND UNDER COVER FIX,1,95,Labor
JCI17971,1,M11001,R/R BATTERY,0.25,95,Labor
JCI17971,2,BAT1101000750,"57412 12V 74AH 600A CCA EPC BATTERY",1,270,Part
JCI17971,3,PAR1101001598,ALTERNATOR PULLY,1,42,Part
JCI17971,4,PAR9999001303,HOLDER ASSY,1,45,Part
JCI17971,5,M11002,ALTERNATOR ASSEMBLY R/O,2.5,95,Labor
JCI17972,1,M01999,Lube Service contract,0.5,95,Labor
JCI17972,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,10.689,Part
JCI17972,3,PAR1220000005,"FILTER, OIL",1,15.866,Part
JCI17972,4,"9999",CONSUMABLES,1,10,Consumable
JCI17972,5,"9999",SERVICE CONTRACT DIFF,1,2.83,O
JCI17973,1,B00000,REAR ACCIDENT,3.38,95,Labor
JCI17973,2,PAR9999005910,COMMENTS WITH CALL CENTER NUMBER,1,10.5,Part
JCI17973,3,PAR9999005913,AMAN TAXI BUMPER LOGO,1,10.5,Part
JCI17973,4,"9999",PAINT AND THINNERS,1,100,Consumable
JCI17973,5,"9999",Labour EXCESS,1,57.9,O
JCI17974,1,M00000,UNDERNEATH COVER FIX,0.5,95,Labor
JCI17975,1,B00000,REAR ACCIDENT,6.2,95,Labor
JCI17975,2,PAR1101003093,DICKY LAMP -LHS,1,145.793,Part
JCI17975,3,PAR9999005917,BRAINDING STICKER,2,10.5,Part
JCI17975,4,PAR9999005914,AMAN TAXI DOOR LOGO,1,10.5,Part
JCI17975,5,"9999",PAINT AND THINNERS,1,150,Consumable
JCI17975,6,"9999",Labour EXCESS,1,1983.71,O
JCI17976,1,M00000,REAR RHS/LHS LOWER ARM BUSH R/R,4.7,95,Labor
JCI17976,2,PAR1101002855,REAR WHEEL HUB,1,114.45,Part
JCI17976,3,PAR1101001703,FRONT STABLIZER D BUSH,2,38.661,Part
JCI17976,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17976,5,PAR1101003634,RR LOWER ARM BUSH,2,29.4,Part
JCI17976,6,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17976,7,SLI00719,LOWER ARM BUSH REPLACEMENT,1,31.5,Service
JCI17976,8,M04011,R/R FRONT STABILIZER BUSH,1,95,Labor
JCI17976,9,M03001,R/R FRONT BRAKE PAD,0.5,95,Labor
JCI17976,10,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17976,11,M05004,R/R REAR LHS WHEEL BEARING,1.5,95,Labor
JCI17976,12,T16002,WHEEL ALIGNMENT,1,80,Labor
JCI17977,1,M01011,AIR FILTER R/R,0.26,95,Labor
JCI17977,2,TYR9999005060,TYRE DEESTONE 175/65R14 82H,4,260,Part
